feature,coefficient
sentence_position,-0.7959598539919355
gpt2_surprisal_sum,0.6627545644838373
gpt2_surprisal_var,-0.4442665470342891
bert_surprisal_std,0.3640321191093312
noun_ratio,0.3314687284105052
bert_surprisal_var,-0.31517878375735053
named_entity_density,0.2983855858835277
gpt2_surprisal_std,0.2827831797643848
sentence_position_norm,0.2571948102463557
lexical_density,-0.25598368360300255
gpt2_surprisal_mean,-0.22445947461118573
bert_surprisal_sum,-0.22199479042076903
verb_ratio,0.1568457462700861
adj_ratio,0.13333686463247857
bert_surprisal_min,-0.13199983769788115
gpt2_surprisal_min,-0.11382847012996251
gpt2_surprisal_max,0.10534063218450147
sentence_length_words,-0.0804661259060079
type_token_ratio,0.07297348633155247
pronoun_ratio,-0.06296500303665846
